from_location,to_location,weight
L0108,L0827,4
L0109,L0110,7
L0109,L0446,1
L0109,L0577,13
L0109,L0659,12
L0109,L0772,11
L0110,L0111,2
L0110,L0123,11
L0110,L0126,5
L0110,L0184,9
L0111,L0112,7
L0111,L0347,1
L0112,L0113,7
L0112,L0115,14
L0112,L0427,3
L0113,L0114,8
L0113,L0135,13
L0113,L0948,1
L0114,L0115,9
L0114,L0124,5
L0114,L0434,4
L0115,L0116,5
L0115,L0521,1
L0115,L0775,8
L0116,L0117,9
L0116,L0136,1
L0116,L0347,4
L0117,L0118,1
L0117,L0374,4
L0117,L0680,15
L0118,L0119,2
L0118,L0480,3
L0119,L0120,9
L0119,L0316,8
L0119,L0619,15
L0120,L0121,5
L0120,L0123,8
L0120,L0144,1
L0120,L0685,13
L0120,L0989,10
L0121,L0122,6
L0121,L0186,12
L0121,L0269,12
L0121,L0655,5
L0121,L0887,4
L0121,L0908,1
L0122,L0123,2
L0122,L0132,7
L0122,L0217,11
L0122,L0324,12
L0122,L0546,7
L0123,L0124,5
L0123,L0581,13
L0124,L0125,7
L0124,L0973,3
L0125,L0126,3
L0125,L0167,2
L0125,L0309,7
L0126,L0127,8
L0126,L0139,8
L0126,L0239,12
L0126,L0615,6
L0126,L0992,14
L0127,L0128,1
L0127,L0791,8
L0128,L0129,5
L0129,L0130,9
L0129,L0139,2
L0130,L0131,3
L0131,L0132,9
L0131,L0187,6
L0131,L0333,13
L0131,L0510,5
L0131,L0512,14
L0131,L0701,14
L0131,L0746,14
L0132,L0133,2
L0132,L0326,3
L0132,L0722,8
L0132,L0831,2
L0133,L0134,5
L0133,L0528,3
L0134,L0135,9
L0134,L0215,7
L0134,L0225,7
L0134,L0409,9
L0134,L0495,2
L0134,L0757,8
L0134,L0893,10
L0135,L0136,4
L0135,L0332,10
L0135,L0540,1
L0135,L0839,8
L0135,L0862,1
L0136,L0137,3
L0136,L0351,12
L0136,L0689,11
L0137,L0138,6
L0137,L0277,1
L0137,L0407,2
L0137,L0657,3
L0138,L0139,3
L0138,L0484,2
L0138,L0512,14
L0139,L0140,9
L0139,L0441,13
L0139,L0531,5
L0140,L0141,9
L0140,L0200,9
L0140,L0208,10
L0140,L0331,12
L0140,L0682,11
L0141,L0142,1
L0141,L0330,13
L0141,L0524,7
L0141,L0658,14
L0141,L0886,12
L0142,L0143,6
L0142,L0160,15
L0142,L0210,4
L0142,L0876,2
L0143,L0144,8
L0143,L0158,6
L0143,L0425,10
L0143,L0592,5
L0144,L0145,1
L0144,L0160,13
L0144,L0516,4
L0144,L0767,7
L0144,L0825,13
L0144,L0830,6
L0144,L0847,4
L0145,L0146,2
L0145,L0281,3
L0146,L0147,6
L0146,L0157,7
L0146,L0160,10
L0146,L0190,11
L0146,L0200,4
L0146,L0577,14
L0147,L0148,5
L0147,L0169,1
L0147,L0324,3
L0148,L0149,4
L0148,L0167,8
L0148,L0321,6
L0148,L0341,2
L0148,L0739,11
L0149,L0150,1
L0149,L0381,2
L0149,L0672,15
L0149,L0880,9
L0150,L0151,4
L0150,L0257,12
L0150,L0576,6
L0151,L0152,2
L0151,L0624,11
L0152,L0153,2
L0152,L0154,10
L0152,L0512,2
L0152,L0883,15
L0152,L0965,15
L0153,L0154,8
L0153,L0395,9
L0153,L0460,6
L0153,L0956,3
L0154,L0155,2
L0154,L0167,3
L0154,L0184,14
L0154,L0436,11
L0154,L0953,1
L0155,L0156,9
L0155,L0266,10
L0155,L0509,9
L0155,L0657,1
L0155,L0918,14
L0156,L0157,3
L0156,L0166,2
L0156,L0252,9
L0156,L0474,8
L0156,L0767,10
L0156,L0845,10
L0157,L0158,3
L0157,L0390,9
L0157,L0437,15
L0157,L0704,2
L0157,L0779,2
L0158,L0159,8
L0158,L0166,1
L0159,L0160,9
L0159,L0381,4
L0159,L0745,11
L0159,L0762,3
L0160,L0161,3
L0160,L0779,13
L0161,L0162,5
L0161,L0197,13
L0161,L0809,10
L0162,L0163,9
L0163,L0164,7
L0163,L0567,4
L0163,L0886,12
L0164,L0165,4
L0164,L0181,1
L0164,L0869,9
L0165,L0166,9
L0165,L0189,14
L0165,L0736,9
L0165,L0805,11
L0165,L0952,15
L0166,L0167,4
L0166,L0264,5
L0166,L0821,6
L0167,L0168,5
L0167,L0186,13
L0168,L0169,7
L0168,L0430,6
L0168,L0858,12
L0169,L0170,6
L0169,L0820,12
L0170,L0171,8
L0170,L0449,7
L0171,L0172,9
L0171,L0707,3
L0172,L0173,8
L0172,L0516,13
L0172,L0531,8
L0172,L0972,13
L0173,L0174,2
L0173,L0479,2
L0173,L0607,3
L0173,L0751,3
L0174,L0175,4
L0174,L0313,10
L0174,L0374,4
L0174,L0727,10
L0174,L0742,6
L0175,L0176,4
L0175,L0489,10
L0176,L0177,2
L0176,L0211,6
L0176,L0289,9
L0177,L0178,6
L0177,L0700,7
L0178,L0179,1
L0178,L0181,6
L0178,L0471,6
L0178,L0616,4
L0179,L0180,9
L0179,L0469,12
L0179,L0552,5
L0179,L0619,12
L0179,L0833,14
L0179,L0848,9
L0180,L0181,4
L0180,L0199,6
L0180,L0496,1
L0181,L0182,4
L0181,L0476,11
L0181,L0858,1
L0182,L0183,1
L0182,L0397,13
L0182,L0457,8
L0182,L0460,2
L0182,L0576,12
L0182,L0941,14
L0182,L0975,8
L0183,L0184,2
L0184,L0185,1
L0184,L0256,12
L0184,L0504,11
L0184,L0580,11
L0184,L0778,1
L0184,L0805,9
L0185,L0186,4
L0185,L0265,5
L0185,L0291,12
L0185,L0530,10
L0185,L0922,1
L0185,L0978,14
L0186,L0187,2
L0187,L0188,1
L0187,L0550,2
L0187,L0602,3
L0188,L0189,6
L0188,L0385,14
L0188,L0450,13
L0188,L0742,15
L0188,L0783,5
L0189,L0190,2
L0189,L0326,3
L0189,L0402,9
L0189,L0410,1
L0189,L0939,11
L0190,L0191,9
L0190,L0205,1
L0190,L0259,6
L0190,L0380,6
L0190,L0516,10
L0190,L0809,11
L0191,L0192,4
L0191,L0204,8
L0191,L0423,10
L0191,L0560,8
L0192,L0193,5
L0192,L0341,3
L0193,L0194,8
L0193,L0205,9
L0193,L0440,12
L0193,L0815,10
L0193,L0981,10
L0194,L0195,4
L0194,L0932,3
L0195,L0196,9
L0195,L0197,12
L0195,L0321,8
L0195,L0751,2
L0195,L0759,8
L0195,L0960,2
L0196,L0197,3
L0196,L0209,14
L0196,L0216,13
L0196,L0742,6
L0196,L0976,10
L0197,L0198,8
L0197,L0232,3
L0197,L0496,5
L0198,L0199,4
L0198,L0206,9
L0198,L0488,12
L0198,L0797,5
L0198,L0871,8
L0199,L0200,8
L0199,L0549,12
L0200,L0201,7
L0200,L0255,13
L0201,L0202,4
L0201,L0205,8
L0201,L0211,6
L0201,L0353,11
L0202,L0203,2
L0203,L0204,2
L0203,L0528,12
L0203,L0795,2
L0204,L0205,7
L0204,L0537,10
L0204,L0683,11
L0205,L0206,6
L0205,L0385,2
L0205,L0494,6
L0205,L0550,11
L0205,L0624,14
L0205,L0659,9
L0206,L0207,7
L0206,L0223,12
L0206,L0343,1
L0206,L0610,7
L0207,L0208,7
L0207,L0855,5
L0207,L0931,6
L0208,L0209,8
L0208,L0235,14
L0208,L0463,7
L0208,L0706,15
L0209,L0210,1
L0209,L0944,3
L0210,L0211,2
L0210,L0309,13
L0211,L0212,1
L0211,L0252,14
L0212,L0213,7
L0212,L0565,4
L0213,L0214,6
L0213,L0705,6
L0213,L0772,15
L0213,L0869,7
L0214,L0215,2
L0214,L0891,5
L0215,L0216,4
L0215,L0253,12
L0215,L0356,11
L0215,L0780,10
L0216,L0217,4
L0216,L0474,15
L0216,L0667,7
L0216,L0734,15
L0216,L0881,15
L0217,L0218,4
L0217,L0923,15
L0218,L0219,9
L0218,L0716,11
L0219,L0220,8
L0219,L0315,6
L0220,L0221,3
L0220,L0350,8
L0220,L0363,5
L0220,L0457,5
L0221,L0222,7
L0221,L0263,9
L0221,L0485,7
L0222,L0223,3
L0222,L0601,4
L0223,L0224,5
L0223,L0773,1
L0224,L0225,8
L0225,L0226,4
L0225,L0476,11
L0225,L0508,11
L0226,L0227,2
L0226,L0352,10
L0226,L0539,9
L0226,L0676,6
L0227,L0228,8
L0227,L0231,6
L0228,L0229,9
L0228,L0237,8
L0228,L0408,3
L0228,L0623,9
L0228,L0933,15
L0229,L0230,2
L0229,L0239,5
L0229,L0402,10
L0230,L0231,1
L0230,L0234,3
L0230,L0450,5
L0230,L0494,6
L0230,L0842,15
L0231,L0232,9
L0231,L0308,3
L0231,L0454,4
L0232,L0233,1
L0232,L0257,11
L0232,L0424,5
L0232,L0756,7
L0232,L0987,3
L0233,L0234,2
L0233,L0434,5
L0233,L0553,8
L0234,L0235,4
L0234,L0251,8
L0235,L0236,3
L0235,L0308,2
L0235,L0440,8
L0236,L0237,7
L0236,L0425,12
L0237,L0238,8
L0237,L0468,5
L0237,L0644,1
L0238,L0239,8
L0238,L0736,13
L0238,L0919,7
L0239,L0240,4
L0239,L0278,4
L0239,L0325,13
L0239,L0594,1
L0239,L0932,5
L0240,L0241,7
L0240,L0932,6
L0240,L0936,5
L0241,L0242,1
L0241,L0385,3
L0241,L0862,5
L0242,L0243,3
L0242,L0396,6
L0243,L0244,7
L0243,L0888,7
L0244,L0245,1
L0245,L0246,7
L0245,L0422,10
L0245,L0679,13
L0246,L0247,5
L0246,L0249,15
L0246,L0379,11
L0246,L0530,15
L0246,L0748,3
L0247,L0248,8
L0247,L0339,1
L0247,L0457,10
L0247,L0581,7
L0247,L0784,13
L0248,L0249,5
L0248,L0447,14
L0248,L0590,15
L0248,L0754,4
L0249,L0250,7
L0249,L0253,15
L0249,L0782,7
L0250,L0251,9
L0250,L0304,14
L0250,L0450,1
L0250,L0633,15
L0251,L0252,8
L0251,L0263,3
L0251,L0652,13
L0251,L0717,1
L0251,L0771,6
L0252,L0253,3
L0252,L0466,7
L0253,L0254,4
L0254,L0255,5
L0254,L0257,4
L0254,L0261,11
L0254,L0697,14
L0254,L0780,7
L0255,L0256,4
L0255,L0364,11
L0255,L0658,4
L0255,L0729,7
L0256,L0257,1
L0256,L0287,10
L0256,L0646,9
L0257,L0258,9
L0257,L0468,4
L0257,L0576,1
L0257,L0613,7
L0257,L0676,13
L0258,L0259,1
L0258,L0289,2
L0258,L0857,2
L0259,L0260,6
L0259,L0540,5
L0259,L0623,5
L0259,L0742,15
L0260,L0261,1
L0260,L0281,10
L0261,L0262,1
L0261,L0289,5
L0262,L0263,8
L0262,L0267,15
L0263,L0264,9
L0263,L0485,8
L0264,L0265,9
L0264,L0782,12
L0265,L0266,3
L0265,L0349,13
L0265,L0685,7
L0265,L0809,11
L0266,L0267,1
L0266,L0303,7
L0266,L0311,5
L0267,L0268,9
L0267,L0557,9
L0267,L0840,1
L0268,L0269,2
L0268,L0982,3
L0269,L0270,3
L0269,L0308,14
L0269,L0745,8
L0269,L0830,4
L0270,L0271,2
L0270,L0752,2
L0271,L0272,2
L0271,L0307,4
L0271,L0658,2
L0271,L0857,8
L0271,L0998,3
L0272,L0273,4
L0272,L0350,14
L0272,L0831,13
L0273,L0274,7
L0273,L0547,15
L0274,L0275,2
L0274,L0277,5
L0274,L0282,13
L0274,L0289,8
L0274,L0772,5
L0274,L0976,15
L0275,L0276,4
L0275,L0291,5
L0275,L0298,15
L0276,L0277,1
L0276,L0421,10
L0277,L0278,2
L0277,L0715,9
L0277,L0948,4
L0278,L0279,7
L0278,L0679,11
L0279,L0280,9
L0279,L0292,9
L0279,L0884,2
L0280,L0281,6
L0280,L0650,8
L0280,L0936,5
L0281,L0282,5
L0281,L0850,5
L0282,L0283,4
L0282,L0354,12
L0282,L0434,14
L0282,L0480,10
L0283,L0284,6
L0283,L0514,11
L0283,L0627,7
L0284,L0285,4
L0284,L0505,2
L0284,L0990,14
L0285,L0286,5
L0285,L0589,6
L0285,L0863,14
L0285,L0987,15
L0286,L0287,7
L0286,L0512,13
L0286,L0841,3
L0287,L0288,3
L0287,L0457,1
L0287,L0526,15
L0287,L0544,13
L0287,L0789,12
L0287,L0847,10
L0287,L0968,4
L0288,L0289,5
L0288,L0373,12
L0288,L0386,7
L0288,L0505,12
L0289,L0290,8
L0289,L0307,13
L0289,L0965,7
L0290,L0291,6
L0290,L0306,8
L0290,L0441,5
L0290,L0714,12
L0291,L0292,2
L0291,L0805,11
L0291,L0842,4
L0292,L0293,1
L0292,L0495,9
L0292,L0841,7
L0293,L0294,8
L0293,L0366,1
L0293,L0568,13
L0294,L0295,2
L0295,L0296,2
L0295,L0430,6
L0295,L0695,9
L0296,L0297,9
L0296,L0995,1
L0297,L0298,4
L0297,L0443,3
L0298,L0299,9
L0298,L0369,6
L0298,L0697,9
L0299,L0300,5
L0299,L0315,3
L0299,L0378,9
L0299,L0683,12
L0299,L0722,1
L0300,L0301,3
L0300,L0889,7
L0301,L0302,6
L0301,L0619,11
L0302,L0303,2
L0302,L0464,3
L0302,L0549,6
L0303,L0304,4
L0303,L0486,13
L0303,L0589,5
L0303,L0765,13
L0304,L0305,6
L0304,L0692,1
L0305,L0306,5
L0305,L0820,10
L0305,L0997,12
L0306,L0307,3
L0307,L0308,8
L0307,L0584,11
L0308,L0309,9
L0308,L0329,12
L0308,L0394,2
L0308,L0512,6
L0308,L0702,4
L0309,L0310,5
L0309,L0313,10
L0309,L0640,6
L0310,L0311,9
L0310,L0513,11
L0310,L0847,5
L0311,L0312,1
L0311,L0850,9
L0312,L0313,9
L0312,L0793,8
L0312,L0941,7
L0313,L0314,5
L0313,L0381,5
L0313,L0651,5
L0314,L0315,2
L0314,L0510,13
L0315,L0316,3
L0315,L0515,2
L0315,L0703,10
L0315,L0859,15
L0316,L0317,5
L0316,L0360,14
L0316,L0657,2
L0317,L0318,2
L0317,L0515,2
L0317,L0781,6
L0317,L0812,13
L0318,L0319,2
L0318,L0337,6
L0318,L0537,3
L0319,L0320,9
L0320,L0321,3
L0320,L0655,6
L0320,L0805,6
L0320,L0957,2
L0321,L0322,5
L0321,L0377,3
L0321,L0880,5
L0321,L0912,2
L0322,L0323,5
L0322,L0757,6
L0322,L0761,1
L0323,L0324,4
L0323,L0347,13
L0323,L0461,8
L0323,L0505,15
L0324,L0325,6
L0324,L0626,10
L0324,L0695,11
L0324,L0847,13
L0325,L0326,4
L0326,L0327,5
L0326,L0344,10
L0326,L0970,3
L0327,L0328,9
L0327,L0603,15
L0328,L0329,8
L0328,L0331,11
L0328,L0349,8
L0328,L0434,13
L0328,L0860,6
L0329,L0330,5
L0329,L0671,10
L0330,L0331,1
L0330,L0350,10
L0330,L0438,6
L0330,L0776,4
L0331,L0332,2
L0331,L0440,6
L0331,L0630,10
L0331,L0640,11
L0332,L0333,7
L0332,L0893,7
L0333,L0334,5
L0333,L0391,9
L0333,L0473,14
L0333,L0575,8
L0333,L0705,15
L0334,L0335,1
L0334,L0938,8
L0335,L0336,1
L0335,L0881,7
L0336,L0337,6
L0336,L0847,4
L0337,L0338,3
L0338,L0339,5
L0338,L0752,11
L0339,L0340,3
L0339,L0895,1
L0340,L0341,8
L0340,L0580,2
L0340,L0708,2
L0340,L0751,8
L0340,L0762,3
L0340,L0819,13
L0341,L0342,9
L0341,L0406,7
L0341,L0709,15
L0342,L0343,7
L0342,L0350,10
L0342,L0533,2
L0342,L0728,13
L0342,L0808,2
L0342,L0932,3
L0343,L0344,9
L0343,L0373,2
L0343,L0441,14
L0344,L0345,1
L0344,L0369,15
L0344,L0376,14
L0344,L0474,7
L0344,L0580,14
L0344,L0754,9
L0345,L0346,2
L0345,L0520,9
L0345,L0678,10
L0345,L0915,15
L0345,L0919,6
L0346,L0347,2
L0346,L0360,15
L0346,L0445,3
L0346,L0455,12
L0346,L0565,11
L0346,L0831,12
L0347,L0348,3
L0347,L0634,13
L0348,L0349,9
L0348,L0465,13
L0348,L0702,14
L0348,L0985,11
L0349,L0350,1
L0349,L0514,10
L0349,L0982,14
L0350,L0351,6
L0350,L0526,11
L0350,L0738,1
L0351,L0352,9
L0351,L0717,9
L0352,L0353,3
L0352,L0713,14
L0352,L0912,14
L0353,L0354,7
L0353,L0506,1
L0354,L0355,3
L0354,L0839,13
L0354,L0968,5
L0355,L0356,1
L0356,L0357,5
L0356,L0404,13
L0357,L0358,6
L0357,L0361,10
L0357,L0375,6
L0357,L0485,7
L0357,L0800,14
L0357,L0883,8
L0357,L0901,7
L0358,L0359,1
L0358,L0696,7
L0359,L0360,6
L0360,L0361,4
L0360,L0706,10
L0361,L0362,4
L0361,L0364,4
L0361,L0594,1
L0361,L0677,1
L0361,L0718,10
L0362,L0363,2
L0362,L0693,5
L0362,L0837,8
L0362,L0935,9
L0363,L0364,6
L0364,L0365,9
L0364,L0389,9
L0364,L0618,8
L0364,L0915,14
L0364,L0958,14
L0365,L0366,7
L0366,L0367,3
L0366,L0453,9
L0366,L0920,4
L0367,L0368,4
L0367,L0549,4
L0367,L0761,6
L0367,L0768,7
L0368,L0369,3
L0368,L0457,8
L0368,L0887,8
L0369,L0370,3
L0369,L0456,2
L0369,L0593,2
L0369,L0639,7
L0369,L0773,6
L0370,L0371,7
L0370,L0760,12
L0371,L0372,1
L0371,L0393,1
L0372,L0373,3
L0373,L0374,6
L0373,L0634,9
L0373,L0878,4
L0374,L0375,7
L0374,L0382,5
L0374,L0922,4
L0375,L0376,4
L0375,L0962,4
L0376,L0377,5
L0376,L0556,1
L0377,L0378,3
L0377,L0510,9
L0377,L0522,3
L0377,L0636,12
L0378,L0379,2
L0378,L0741,3
L0379,L0380,7
L0379,L0449,2
L0379,L0573,2
L0380,L0381,1
L0380,L0725,11
L0381,L0382,8
L0381,L0681,3
L0382,L0383,4
L0382,L0396,6
L0382,L0743,3
L0383,L0384,4
L0383,L0397,12
L0383,L0641,5
L0383,L0749,15
L0383,L0814,9
L0384,L0385,8
L0384,L0392,12
L0384,L0431,7
L0384,L0963,9
L0385,L0386,6
L0385,L0965,2
L0386,L0387,5
L0386,L0496,10
L0386,L0628,1
L0386,L0833,6
L0386,L0894,11
L0387,L0388,4
L0387,L0553,12
L0388,L0389,4
L0388,L0409,6
L0388,L0413,2
L0388,L0622,2
L0388,L0887,11
L0389,L0390,1
L0389,L0557,7
L0389,L0584,8
L0389,L0920,13
L0390,L0391,4
L0391,L0392,7
L0391,L0405,1
L0391,L0859,2
L0392,L0393,6
L0392,L0750,4
L0392,L0793,14
L0393,L0394,5
L0393,L0778,2
L0394,L0395,2
L0394,L0429,15
L0394,L0496,12
L0394,L0569,6
L0394,L0954,10
L0395,L0396,5
L0395,L0667,12
L0395,L0707,13
L0395,L0790,4
L0396,L0397,6
L0396,L0715,8
L0397,L0398,9
L0397,L0461,4
L0397,L0651,5
L0398,L0399,7
L0398,L0567,15
L0399,L0400,9
L0399,L0500,10
L0399,L0852,2
L0399,L0979,4
L0400,L0401,6
L0400,L0729,14
L0401,L0402,1
L0402,L0403,2
L0403,L0404,5
L0404,L0405,3
L0404,L0570,13
L0404,L0694,2
L0405,L0406,5
L0405,L0411,2
L0405,L0925,1
L0406,L0407,1
L0407,L0408,2
L0407,L0537,2
L0407,L0857,3
L0407,L0991,9
L0408,L0409,7
L0408,L0840,9
L0408,L0988,5
L0409,L0410,6
L0409,L0485,5
L0409,L0620,9
L0409,L0833,12
L0410,L0411,6
L0410,L0583,12
L0410,L0663,6
L0410,L0734,11
L0411,L0412,7
L0411,L0433,12
L0412,L0413,9
L0412,L0437,8
L0412,L0588,10
L0413,L0414,2
L0414,L0415,7
L0414,L0507,5
L0414,L0523,14
